מה שווי המוצר לדעתך?,מה הצעתך?,מה שווי המוצר לדעתך?_1,מה הצעתך?_2,מה שווי המוצר לדעתך?_3,מה הצעתך?_4
"80 ש""ח","50 ש""ח","1000 ש""ח","500 ש""ח","140 ש""ח","100 ש""ח"
"60 ש""ח","10 ש""ח","2000 ש""ח","1500 ש""ח","160 ש""ח","150 ש""ח"
"60 ש""ח","10 ש""ח","1000 ש""ח","1000 ש""ח","120 ש""ח","100 ש""ח"
"60 ש""ח","10 ש""ח","1000 ש""ח","500 ש""ח","140 ש""ח","100 ש""ח"
"80 ש""ח","10 ש""ח","2000 ש""ח","1500 ש""ח","140 ש""ח","120 ש""ח"
"60 ש""ח","10 ש""ח","1000 ש""ח","500 ש""ח","160 ש""ח","100 ש""ח"
"60 ש""ח","10 ש""ח","2000 ש""ח","500 ש""ח","120 ש""ח","60 ש""ח"
"60 ש""ח","10 ש""ח","1000 ש""ח","1000 ש""ח","140 ש""ח","120 ש""ח"
"60 ש""ח","30 ש""ח","1000 ש""ח","1000 ש""ח","120 ש""ח","70 ש""ח"
"60 ש""ח","40 ש""ח","3000 ש""ח","1500 ש""ח","120 ש""ח","60 ש""ח"
"60 ש""ח","50 ש""ח","1000 ש""ח","500 ש""ח","120 ש""ח","100 ש""ח"
"100 ש""ח","90 ש""ח","1000 ש""ח","500 ש""ח","160 ש""ח","140 ש""ח"
"60 ש""ח","40 ש""ח","2000 ש""ח","1500 ש""ח","120 ש""ח","110 ש""ח"
"60 ש""ח","30 ש""ח","3000 ש""ח","2500 ש""ח","140 ש""ח","110 ש""ח"
"60 ש""ח","10 ש""ח","1000 ש""ח","500 ש""ח","120 ש""ח","80 ש""ח"
"60 ש""ח","70 ש""ח","3000 ש""ח","3000 ש""ח","140 ש""ח","140 ש""ח"
"60 ש""ח","40 ש""ח","1000 ש""ח","1000 ש""ח","120 ש""ח","120 ש""ח"
"60 ש""ח","40 ש""ח","3000 ש""ח","3500 ש""ח","120 ש""ח","100 ש""ח"
"60 ש""ח","40 ש""ח","1000 ש""ח","1000 ש""ח","120 ש""ח","100 ש""ח"
"60 ש""ח","60 ש""ח","1000 ש""ח","1000 ש""ח","120 ש""ח","120 ש""ח"
"60 ש""ח","70 ש""ח","2000 ש""ח","2500 ש""ח","120 ש""ח","120 ש""ח"
"60 ש""ח","50 ש""ח","3000 ש""ח","2500 ש""ח","120 ש""ח","110 ש""ח"
"60 ש""ח","30 ש""ח","1000 ש""ח","1000 ש""ח","120 ש""ח","100 ש""ח"
"100 ש""ח","100 ש""ח","1000 ש""ח","1000 ש""ח","180 ש""ח","180 ש""ח"
"60 ש""ח","20 ש""ח","2000 ש""ח","500 ש""ח","140 ש""ח","60 ש""ח"
"60 ש""ח","10 ש""ח","1000 ש""ח","1000 ש""ח","120 ש""ח","110 ש""ח"
"60 ש""ח","30 ש""ח","1000 ש""ח","500 ש""ח","120 ש""ח","100 ש""ח"
"80 ש""ח","90 ש""ח","2000 ש""ח","2000 ש""ח","140 ש""ח","150 ש""ח"
"60 ש""ח","30 ש""ח","1000 ש""ח","1500 ש""ח","120 ש""ח","90 ש""ח"
"100 ש""ח","90 ש""ח","2000 ש""ח","1500 ש""ח","160 ש""ח","140 ש""ח"
"60 ש""ח","20 ש""ח","1000 ש""ח","500 ש""ח","120 ש""ח","70 ש""ח"
"60 ש""ח","40 ש""ח","2000 ש""ח","1500 ש""ח","120 ש""ח","80 ש""ח"
"60 ש""ח","10 ש""ח","1000 ש""ח","500 ש""ח","120 ש""ח","70 ש""ח"
"60 ש""ח","40 ש""ח","1000 ש""ח","1500 ש""ח","140 ש""ח","160 ש""ח"
"60 ש""ח","50 ש""ח","1000 ש""ח","1000 ש""ח","120 ש""ח","110 ש""ח"
"80 ש""ח","90 ש""ח","1000 ש""ח","1000 ש""ח","140 ש""ח","160 ש""ח"
"60 ש""ח","60 ש""ח","1000 ש""ח","1000 ש""ח","160 ש""ח","160 ש""ח"
"60 ש""ח","50 ש""ח","1000 ש""ח","500 ש""ח","120 ש""ח","100 ש""ח"
"60 ש""ח","40 ש""ח","1000 ש""ח","500 ש""ח","120 ש""ח","80 ש""ח"
"100 ש""ח","60 ש""ח","2000 ש""ח","1500 ש""ח","140 ש""ח","100 ש""ח"
"80 ש""ח","40 ש""ח","1000 ש""ח","500 ש""ח","120 ש""ח","70 ש""ח"
"60 ש""ח","20 ש""ח","4000 ש""ח","3000 ש""ח","180 ש""ח","140 ש""ח"
"140 ש""ח","130 ש""ח","4000 ש""ח","3500 ש""ח","180 ש""ח","170 ש""ח"
"120 ש""ח","110 ש""ח","3000 ש""ח","2500 ש""ח","160 ש""ח","150 ש""ח"
"100 ש""ח","80 ש""ח","2000 ש""ח","2000 ש""ח","140 ש""ח","130 ש""ח"
"80 ש""ח","60 ש""ח","2000 ש""ח","1500 ש""ח","120 ש""ח","100 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","4000 ש""ח","180 ש""ח","90 ש""ח"
"120 ש""ח","60 ש""ח","3000 ש""ח","1500 ש""ח","160 ש""ח","80 ש""ח"
"100 ש""ח","50 ש""ח","2000 ש""ח","1000 ש""ח","140 ש""ח","70 ש""ח"
"80 ש""ח","40 ש""ח","1000 ש""ח","500 ש""ח","120 ש""ח","60 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"60 ש""ח","80 ש""ח","2000 ש""ח","2000 ש""ח","120 ש""ח","120 ש""ח"
"60 ש""ח","30 ש""ח","2000 ש""ח","1500 ש""ח","140 ש""ח","140 ש""ח"
"100 ש""ח","10 ש""ח","4000 ש""ח","500 ש""ח","120 ש""ח","60 ש""ח"
"60 ש""ח","10 ש""ח","2000 ש""ח","1500 ש""ח","140 ש""ח","100 ש""ח"
"80 ש""ח","80 ש""ח","1000 ש""ח","1000 ש""ח","120 ש""ח","120 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"60 ש""ח","60 ש""ח","2000 ש""ח","2000 ש""ח","140 ש""ח","140 ש""ח"
"60 ש""ח","50 ש""ח","2000 ש""ח","1500 ש""ח","120 ש""ח","100 ש""ח"
"60 ש""ח","60 ש""ח","1000 ש""ח","1000 ש""ח","120 ש""ח","120 ש""ח"
"60 ש""ח","20 ש""ח","1000 ש""ח","500 ש""ח","120 ש""ח","80 ש""ח"
"140 ש""ח","120 ש""ח","4000 ש""ח","3000 ש""ח","180 ש""ח","140 ש""ח"
"120 ש""ח","80 ש""ח","3000 ש""ח","2500 ש""ח","160 ש""ח","120 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
"140 ש""ח","70 ש""ח","4000 ש""ח","2000 ש""ח","180 ש""ח","90 ש""ח"
